兄弟 | 还不认亲 | Racism | hate [END]
美国 | 有种族歧视 | Racism | hate [END]
昭和时期的日本人 | 不得一刀刺过去？ | Racism | hate [END]
被骗去非洲的国女 | 以国女那爱炫耀爱攀比的人物性格 | Sexism | hate [END]
小孩 | 贫血 | non-hate | non-hate [END]
女拳 | 不知道女拳哪里不满 | Sexism | hate [END]
假和尚 | 在河南才多🤣🤣🤣🤣 | Region | hate [END]
混血儿 | 过去不是叫杂种么 | Racism | hate [END]
这鸡汤 | 好喝 | non-hate | non-hate [END]
回民和东北人 | 会被黑 | Region | hate [END]
上海人 | 地域歧视严重吗 | Region | hate [END]
黑人 | 赶走黑人 | Racism | hate [END]
嘿 | 反嘿文章 | Racism | hate [END]
外国媳妇 | 日韩越的还能接受 | Racism | hate [END]
女性 | 进化率很高，高达16％ | non-hate | non-hate [END]
这种nt发言 | 一度让我怀疑是友军反串 | non-hate | non-hate [END]
同 | 看到你就会疯狂的爱上你 | LGBTQ | hate [END]
这 | 比批判严重多了 | non-hate | non-hate [END]
None | 如此双标的话不是÷生真说不出口 | Sexism | hate [END]
丑男 | 一堆丑男 | Sexism | hate [END]
新疆切糕 | 把新疆人名声败坏了吧 | Region | hate [END]
我们同性恋 | 太正确了 | non-hate | non-hate [END]
沪黑 | 如此渺小 | Region | hate [END]
黑同 | 棒垃圾当宝贝 | LGBTQ | hate [END]
None | 籹犬分子一脚踢爆 | Sexism | hate [END]
当地黑人 | 威胁一下 | Racism | hate [END]
我 | 这辈子没这么无语过😓😓😓 | non-hate | non-hate [END]
女权 | 已经疯了 | Sexism | hate [END]
同性恋 | 恶心 | LGBTQ | hate [END]
我对象 | 沈阳的 | non-hate | non-hate [END]
[END]
中国人 | 黄种人硬度最高 | Racism | hate [END]
黑 | 旺盛 | Racism | hate [END]
你 | 倒是挺会装的 | non-hate | non-hate [END]
异性恋 | 敢组织love don’t is love活动吗 | non-hate | non-hate [END]
这种龟男 | 必须抵制 | Sexism | hate [END]
甘肃人 | 一辈子洗三次澡 | Region | hate [END]
kuai | 增加kuai感的 | Sexism | hate [END]
它们 | 打到弹尽粮绝 | non-hate | non-hate [END]
这货 | 下海 | non-hate | non-hate [END]
南满 | 黑河南、黑北方的 | Region | hate [END]
这司机 | 长得还行啊 | non-hate | non-hate [END]
你们的主子 | 评价你们的 | Sexism | hate [END]
普信女 | 教课书一样的普信女 | Sexism | hate [END]
嫁黑人的我 | 歧视 | Sexism | hate [END]
吧 | 没落了 | non-hate | non-hate [END]
我 | 怕性病艾滋病🤔 | non-hate | non-hate [END]
你 | 现在为什么住南昌呢？ | non-hate | non-hate [END]
他们 | 活该 | Racism | hate [END]
我 | 天生的改不了 | non-hate | non-hate [END]
None | 这么自信别匿名啊 | non-hate | non-hate [END]
黑人 | 有良心吗？ | Racism | hate [END]
Gay | 还会挑？ | LGBTQ | hate [END]
黑人 | 看不惯 | Racism | hate [END]
四川 | 经常被黑 | Region | hate [END]
她 | 看看她有没有微博，小红书，豆瓣 | non-hate | non-hate [END]
黑人 | 十二生肖里没黑人 | Racism | hate [END]
吃肉 | 不要那么大声 | non-hate | non-hate [END]
舍得给女孩子花钱的 | 不一定爱 | non-hate | non-hate [END]
对于这种想和黑人在一起的女性 甚至生下z种的人 | 正常中国男人谁会去看 | Sexism | hate [END]
娘炮 | 娘炮 | Sexism | hate [END]
答主 | 不必为这个生气 | non-hate | non-hate [END]
炫耀找黑媳妇的 | 都基本上没见过什么世面 | Sexism | hate [END]
基佬 | 不搞女人的渣男 | LGBTQ | hate [END]
阿莱克丝塔萨 | 漂亮 | non-hate | non-hate [END]
交往过的 | 不管睡没睡过我都不会要 | Sexism | hate [END]
竖切社会 | 很扯淡 | Sexism | hate [END]
这女的 | 绝对不无辜 | non-hate | non-hate [END]
女拳 | 伞兵 | Sexism | hate [END]
txl和yxl | 双面人 | LGBTQ | hate [END]
学长 | 也打拳 | non-hate | non-hate [END]
女⭕️师 | 泥鸽 | Sexism | hate [END]
垃圾小仙女 | 不配活着 | Sexism | hate [END]
女拳 | 没有逻辑的动物 | Sexism | hate [END]
抠脚大汉 | 搞反串 | Sexism | hate [END]
黑娃 | 等中国遍地都是黑娃的时候就没你什么事儿了 | Racism | hate [END]
你们异性恋 | 为什么来同性恋吧发反对同性恋的东西 | LGBTQ | hate [END]
我 | 害怕😨两点 | non-hate | non-hate [END]
你 | 真不挑食呀 | non-hate | non-hate [END]
幕刃 | 求个中外哲学家评论幕刃的图 | Sexism | hate [END]
